"","town","townUK","latuk","lonuk","lat","lon","geom"
"857","Kiel","Coventry",52.4081,-1.5106,54.3333,10.1333,"LINESTRING (-1.5106 52.4081, 10.1333 54.3333)"
"858","Killarney","Kendal",54.326,-2.745,52.0588,-9.5072,"LINESTRING (-2.745 54.326, -9.5072 52.0588)"
"859","Kingston, Jamaica","Coventry",52.4081,-1.5106,17.9833,-76.8,"LINESTRING (-1.5106 52.4081, -76.8 17.9833)"
"861","Kisumu","Cheltenham",51.8833,-2.0667,-0.1,34.75,"LINESTRING (-2.0667 51.8833, 34.75 -0.1)"
"862","Kitwe","Sheffield",53.3836,-1.4669,-12.8167,28.2,"LINESTRING (-1.4669 53.3836, 28.2 -12.8167)"
"865","Koblenz","Norwich",52.6283,1.2967,50.3597,7.5978,"LINESTRING (1.2967 52.6283, 7.5978 50.3597)"
"867","Koblenz","London Borough of Haringey",51.6016,-0.1129,50.3597,7.5978,"LINESTRING (-0.1129 51.6016, 7.5978 50.3597)"
"873","Königswinter","Cleethorpes",53.5533,-0.0216,50.6736,7.1947,"LINESTRING (-0.0216 53.5533, 7.1947 50.6736)"
"874","Konin","Wakefield",53.6801,-1.492,52.2167,18.25,"LINESTRING (-1.492 53.6801, 18.25 52.2167)"
"875","Konstanz","London Borough of Richmond upon Thames",51.4167,-0.3333,47.6667,9.1833,"LINESTRING (-0.3333 51.4167, 9.1833 47.6667)"
"876","Kornwestheim","Eastleigh",50.9667,-1.35,48.8598,9.1852,"LINESTRING (-1.35 50.9667, 9.1852 48.8598)"
"877","Kortrijk","Royal Borough of Windsor and Maidenhead",51.4667,-0.6667,50.8333,3.2667,"LINESTRING (-0.6667 51.4667, 3.2667 50.8333)"
"878","Kostanay","Kirklees",53.593,-1.801,53.2,63.62,"LINESTRING (-1.801 53.593, 63.62 53.2)"
"879","Kostroma","Durham, England",54.7761,-1.5733,57.7667,40.9333,"LINESTRING (-1.5733 54.7761, 40.9333 57.7667)"
"883","Kőszeg","Sherborne",50.9469,-2.5171,47.3819,16.5522,"LINESTRING (-2.5171 50.9469, 16.5522 47.3819)"
"887","Kranj","Oldham",53.5444,-2.1169,46.2333,14.3667,"LINESTRING (-2.1169 53.5444, 14.3667 46.2333)"
"888","Krefeld","Leicester",52.6333,-1.1333,51.3333,6.5667,"LINESTRING (-1.1333 52.6333, 6.5667 51.3333)"
"890","Kronberg im Taunus","Aberystwyth",52.414,-4.081,50.1833,8.5,"LINESTRING (-4.081 52.414, 8.5 50.1833)"
"892","Kuala Lumpur","Woodhall Spa",53.1515,-0.2183,3.1357,101.688,"LINESTRING (-0.2183 53.1515, 101.688 3.1357)"
"893","Kutaisi","Newport, Wales",51.5833,-3,42.25,42.7,"LINESTRING (-3 51.5833, 42.7 42.25)"
"894","Kutná Hora","Stamford, Lincolnshire",52.656,-0.484,49.95,15.2667,"LINESTRING (-0.484 52.656, 15.2667 49.95)"
"895","La Bazoge, Sarthe","Bardney",53.211,-0.3244,48.0994,0.1561,"LINESTRING (-0.3244 53.211, 0.1561 48.0994)"
"900","La Chevrolière","Lyndhurst, Hampshire",50.87,-1.58,47.0917,-1.6103,"LINESTRING (-1.58 50.87, -1.6103 47.0917)"
"901","La Ciotat","Bridgwater",51.128,-2.993,43.1769,5.6086,"LINESTRING (-2.993 51.128, 5.6086 43.1769)"
"908","La Gacilly","Gowerton",51.648,-4.043,47.7658,-2.1308,"LINESTRING (-4.043 51.648, -2.1308 47.7658)"
